,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),68.75,64.5,60.83,61.85,72.6,58.27,65.79,69.23,75.51,68.86
SVM (SGD),61.74,64.33,61.89,58.98,70.99,61.92,61.05,77.5,76.28,68.5
Naive Bayes,68.74,68.61,60.86,65.76,70.38,63.85,63.68,67.31,76.28,68.86
Random Forest,70.59,61.17,60.89,62.53,71.0,59.23,68.37,66.73,73.93,68.72
