,0,1,2,3,4,5,6,7,8,9
Article,All,Article2,Article3,Article5,Article6,Article8,Article10,Article11,Article13,Article14
SVM (rep),67.11,71.93,79.61,74.73,78.54,71.05,62.83,70.94,82.26,76.46
SVM (SGD),53.22,70.88,79.68,74.67,77.84,70.17,56.23,56.25,81.98,76.94
Naive Bayes,69.6,75.44,77.43,72.47,76.09,71.09,63.49,77.5,83.02,72.64
Random Forest,72.21,71.58,77.78,68.4,74.76,65.41,60.94,76.56,78.11,73.96
