,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),69.12,67.53,61.92,66.37,76.52,68.94,62.63,75.96,76.02,76.56
SVM (SGD),59.33,68.92,63.6,64.2,76.34,67.35,61.0,61.35,81.84,76.19
Naive Bayes,70.16,67.1,60.18,68.98,76.43,66.92,64.47,77.88,77.3,73.44
Random Forest,70.53,65.67,62.31,62.03,73.45,62.37,64.74,75.38,75.36,69.27
