,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),68.52,62.99,63.09,65.66,75.51,66.83,59.52,77.88,78.57,75.27
SVM (SGD),55.19,64.33,62.81,63.11,77.08,66.54,61.11,55.0,74.23,76.41
Naive Bayes,70.41,64.94,62.37,65.56,75.31,66.63,63.76,75.96,79.34,73.08
Random Forest,70.34,64.2,63.5,61.24,74.31,63.92,63.12,74.81,76.89,70.55
