year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
1994,0.6470588235294118,0.2988071523335984,0.7692307692307693,5,35,window,134,34,50.0,58.82
1995,0.42857142857142855,-0.13483997249264842,0.5,5,35,window,162,21,50.0,66.67
1996,0.45714285714285713,-0.08852506597852129,0.4864864864864865,5,35,window,176,35,50.0,51.43
1997,0.5681818181818182,0.05921644889989023,0.6666666666666667,5,35,window,210,44,50.0,61.36
2013,0.6226415094339622,0.34860852812348675,0.7272727272727272,5,30,window,1274,318,50.0,87.42
1998,0.7543859649122807,0.30517863258288674,0.8409090909090908,5,35,window,244,57,50.0,75.44
1999,0.6,-0.12138259513971536,0.7435897435897436,5,35,window,272,50,50.0,88.0
2000,0.625,0.13043770067806243,0.7305389221556887,5,35,window,284,120,50.0,75.0
2014,0.5666666666666667,0.32025630761017426,0.6623376623376622,5,30,window,1350,240,50.0,85.0
2015,0.545045045045045,0.27718215175708605,0.6456140350877193,5,30,window,1418,222,50.0,85.59
2001,0.7633587786259542,0.504976143940895,0.8143712574850299,5,35,window,344,131,50.0,68.7
2002,0.6942675159235668,0.2542657958899699,0.7894736842105263,5,35,window,426,157,50.0,78.34
2003,0.8374384236453202,0.42039505245977477,0.9043478260869566,5,35,window,494,203,50.0,90.64
2016,0.5816326530612245,0.3526887370363863,0.6666666666666666,5,30,window,1480,294,50.0,82.99
2004,0.8133971291866029,0.42431315963919586,0.8862973760932944,5,35,window,530,209,50.0,88.52
2005,0.8279883381924198,0.222372252191721,0.9021558872305142,5,35,window,576,343,50.0,92.13
2017,0.716589861751152,0.4483491552602005,0.8050713153724247,5,30,window,1574,434,50.0,86.41
2006,0.8591065292096219,0.33842498715288605,0.9208494208494209,5,35,window,628,582,50.0,93.81
2007,0.8141135972461274,0.3501365390473254,0.8909090909090909,5,35,window,698,581,50.0,92.43
2018,0.598404255319149,0.3512075696270238,0.700990099009901,5,30,window,1680,376,50.0,86.97
2008,0.7818499127399651,0.2994093011569545,0.8707342295760083,5,35,window,786,573,50.0,93.72
2019,0.5892857142857143,0.2970562975030707,0.6986899563318777,5,30,window,1768,336,50.0,87.5
1969,0,0,0,5,40,window,0,1,nan,0.0
1970,0,0,0,5,40,window,0,1,nan,0.0
1971,0,0,0,5,40,window,0,1,nan,0.0
1972,0,0,0,5,40,window,0,0,nan,nan
1973,0,0,0,5,40,window,0,0,nan,nan
1974,0,0,0,5,40,window,0,0,nan,nan
1975,0,0,0,5,40,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,40,window,2,6,50.0,16.67
1977,0,0,0,5,40,window,4,0,50.0,nan
2020,0.48175182481751827,0.2594957487446766,0.584795321637427,5,30,window,1846,274,50.0,87.96
1978,0.6666666666666666,0.0,0.8,5,40,window,4,3,50.0,66.67
2009,0.7008,0.22598672550722018,0.8124373119358075,5,35,window,858,625,50.0,92.48
1979,1.0,0.0,1.0,5,40,window,8,2,50.0,100.0
2021,0.5811965811965812,0.2663313892520681,0.7030303030303029,5,30,window,1912,351,50.0,90.6
1980,0.3333333333333333,-0.5,0.5,5,40,window,12,3,50.0,66.67
2010,0.6966490299823633,0.2916425210883682,0.8022988505747126,5,35,window,952,567,50.0,89.42
1981,0.5,0.0,0.6666666666666666,5,40,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,40,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,40,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,5,40,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,5,40,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,5,40,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,40,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,40,window,54,7,50.0,28.57
2011,0.6339869281045751,0.2800478135656106,0.7439024390243901,5,35,window,1072,459,50.0,87.36
1989,0.8,0.0,0.888888888888889,5,40,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,40,window,70,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,5,40,window,70,24,50.0,54.17
1992,0.6086956521739131,0.11213565339313257,0.7096774193548386,5,40,window,92,23,50.0,69.57
1993,0.5,-0.17370208344491278,0.6666666666666667,5,40,window,106,30,50.0,53.33
2012,0.5933734939759037,0.34368641053847404,0.6867749419953597,5,35,window,1178,332,50.0,84.34
1994,0.5882352941176471,0.06546536707079773,0.7200000000000001,5,40,window,134,34,50.0,58.82
1995,0.42857142857142855,-0.2041241452319315,0.5384615384615384,5,40,window,162,21,50.0,66.67
1996,0.5428571428571428,0.08852506597852129,0.5294117647058824,5,40,window,176,35,50.0,51.43
1997,0.7045454545454546,0.3704792868174742,0.7636363636363638,5,40,window,210,44,50.0,61.36
2013,0.6069182389937107,0.3366447509587331,0.7126436781609196,5,35,window,1282,318,50.0,87.42
1998,0.7017543859649122,0.13407821381883833,0.8089887640449438,5,40,window,244,57,50.0,75.44
1999,0.74,-0.01281577413514654,0.8470588235294119,5,40,window,272,50,50.0,88.0
2000,0.5916666666666667,0.24086388042336668,0.6666666666666667,5,40,window,284,120,50.0,75.0
2001,0.6641221374045801,0.33878929690567755,0.7215189873417721,5,40,window,344,131,50.0,68.7
2015,0.545045045045045,0.27718215175708605,0.6456140350877193,5,35,window,1432,222,50.0,85.59
2014,0.5666666666666667,0.32025630761017426,0.6623376623376622,5,35,window,1360,240,50.0,85.0
2002,0.7197452229299363,0.33548338068023315,0.8053097345132745,5,40,window,426,157,50.0,78.34
2003,0.8226600985221675,0.39854499060618126,0.8947368421052633,5,40,window,494,203,50.0,90.64
2004,0.8038277511961722,0.4533823502911814,0.8783382789317509,5,40,window,532,209,50.0,88.52
2016,0.5884353741496599,0.3455273934649755,0.675603217158177,5,35,window,1494,294,50.0,82.99
2005,0.8309037900874635,0.24759221416986954,0.903654485049834,5,40,window,580,343,50.0,92.13
2006,0.8711340206185567,0.34403106430149105,0.9282296650717703,5,40,window,634,582,50.0,93.81
2017,0.7188940092165899,0.4505980678619001,0.8069620253164557,5,35,window,1592,434,50.0,86.41
2007,0.7986230636833046,0.33140776356823815,0.8807339449541285,5,40,window,706,581,50.0,92.43
2019,0.5952380952380952,0.3150597094729538,0.7030567685589519,5,35,window,1802,336,50.0,87.5
2018,0.6143617021276596,0.36314686581321853,0.7162426614481409,5,35,window,1708,376,50.0,86.97
2008,0.787085514834206,0.3047050037873307,0.8742268041237115,5,40,window,794,573,50.0,93.72
1969,0,0,0,5,45,window,0,1,nan,0.0
1970,0,0,0,5,45,window,0,1,nan,0.0
1971,0,0,0,5,45,window,0,1,nan,0.0
1972,0,0,0,5,45,window,0,0,nan,nan
1973,0,0,0,5,45,window,0,0,nan,nan
1974,0,0,0,5,45,window,0,0,nan,nan
1975,0,0,0,5,45,window,0,1,nan,100.0
1976,0.16666666666666666,0.0,0.2857142857142857,5,45,window,2,6,50.0,16.67
1977,0,0,0,5,45,window,4,0,50.0,nan
1978,0.3333333333333333,-0.5,0.5,5,45,window,4,3,50.0,66.67
2009,0.6944,0.21062421406513637,0.808040201005025,5,40,window,864,625,50.0,92.48
1979,1.0,0.0,1.0,5,45,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,45,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,45,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,45,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,45,window,26,7,50.0,71.43
2021,0.5868945868945868,0.2858556828250581,0.7070707070707072,5,35,window,1946,351,50.0,90.6
2020,0.4927007299270073,0.26632105594932715,0.5971014492753622,5,35,window,1882,274,50.0,87.96
1984,0.9,0.6666666666666666,0.9411764705882353,5,45,window,30,10,50.0,80.0
2010,0.6860670194003528,0.264660981190038,0.7949308755760368,5,40,window,956,567,50.0,89.42
1985,0.75,0.0,0.8571428571428571,5,45,window,34,4,50.0,75.0
1986,0.7142857142857143,0.47140452079103173,0.8,5,45,window,36,7,50.0,57.14
2011,0.6252723311546841,0.2728852966707998,0.7361963190184049,5,40,window,1074,459,50.0,87.36
1987,0.6,0.0,0.7499999999999999,5,45,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,45,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,5,45,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,45,window,70,8,50.0,100.0
2012,0.5843373493975904,0.3246209150341973,0.6790697674418604,5,40,window,1188,332,50.0,84.34
1991,0.5,-0.19180536399919287,0.6666666666666667,5,45,window,70,24,50.0,54.17
1992,0.6521739130434783,0.17857142857142858,0.75,5,45,window,92,23,50.0,69.57
1993,0.6,0.1913829539560278,0.6842105263157896,5,45,window,106,30,50.0,53.33
1994,0.5882352941176471,0.06546536707079773,0.7200000000000001,5,45,window,134,34,50.0,58.82
1995,0.42857142857142855,-0.13483997249264842,0.5,5,45,window,162,21,50.0,66.67
1996,0.4857142857142857,-0.03300491809922247,0.5263157894736842,5,45,window,176,35,50.0,51.43
1997,0.5909090909090909,0.19751634497399984,0.6250000000000001,5,45,window,210,44,50.0,61.36
1998,0.6842105263157895,0.10523401123547818,0.7954545454545455,5,45,window,244,57,50.0,75.44
1999,0.78,-0.12309149097933274,0.8764044943820225,5,45,window,272,50,50.0,88.0
2013,0.6446540880503144,0.3659706875098393,0.7472035794183446,5,40,window,1292,318,50.0,87.42
2000,0.5166666666666667,0.2219167619785609,0.5606060606060607,5,45,window,284,120,50.0,75.0
2001,0.7175572519083969,0.4150631941710851,0.7757575757575759,5,45,window,344,131,50.0,68.7
2014,0.55,0.3076976944152481,0.6447368421052632,5,40,window,1372,240,50.0,85.0
2002,0.7261146496815286,0.2978602074298738,0.815450643776824,5,45,window,426,157,50.0,78.34
2015,0.5495495495495496,0.2805581856229651,0.6503496503496504,5,40,window,1444,222,50.0,85.59
2003,0.812807881773399,0.4115862621748101,0.8875739644970413,5,45,window,494,203,50.0,90.64
2004,0.7990430622009569,0.4045189378198824,0.8764705882352942,5,45,window,532,209,50.0,88.52
2016,0.5884353741496599,0.35820631877596393,0.6738544474393531,5,40,window,1508,294,50.0,82.99
2005,0.8279883381924198,0.26436618809216395,0.9015025041736227,5,45,window,580,343,50.0,92.13
2017,0.7211981566820277,0.4437131505020635,0.8094488188976379,5,40,window,1598,434,50.0,86.41
2006,0.8694158075601375,0.34106485403175063,0.9272030651340996,5,45,window,634,582,50.0,93.81
2007,0.7969018932874354,0.3407066702389035,0.8793456032719837,5,45,window,706,581,50.0,92.43
2008,0.7958115183246073,0.30058036233173074,0.880245649948823,5,45,window,794,573,50.0,93.72
2018,0.625,0.359639258207856,0.7272727272727273,5,40,window,1716,376,50.0,86.97
2019,0.6071428571428571,0.32396954829362334,0.7142857142857143,5,40,window,1812,336,50.0,87.5
2009,0.6896,0.21738412493642234,0.8040404040404041,5,45,window,866,625,50.0,92.48
2020,0.4744525547445255,0.2549791118086109,0.5764705882352942,5,40,window,1896,274,50.0,87.96
2021,0.5868945868945868,0.2858556828250581,0.7070707070707072,5,40,window,1960,351,50.0,90.6
2010,0.6931216931216931,0.2796961759462569,0.8,5,45,window,960,567,50.0,89.42
2011,0.6100217864923747,0.2509346114811113,0.723338485316847,5,45,window,1080,459,50.0,87.36
2012,0.5993975903614458,0.33683013359872893,0.6942528735632184,5,45,window,1196,332,50.0,84.34
2013,0.6289308176100629,0.3534926366759307,0.7330316742081449,5,45,window,1300,318,50.0,87.42
2014,0.5458333333333333,0.3045936755942534,0.6402640264026402,5,45,window,1378,240,50.0,85.0
2015,0.5585585585585585,0.28735667062966425,0.6597222222222222,5,45,window,1448,222,50.0,85.59
2016,0.5884353741496599,0.35820631877596393,0.6738544474393531,5,45,window,1510,294,50.0,82.99
2017,0.7096774193548387,0.4324573682958506,0.8,5,45,window,1608,434,50.0,86.41
2018,0.6196808510638298,0.3672035333279091,0.7212475633528265,5,45,window,1726,376,50.0,86.97
2019,0.5922619047619048,0.2992695934475963,0.7015250544662309,5,45,window,1824,336,50.0,87.5
2020,0.4744525547445255,0.23625225899114888,0.5789473684210527,5,45,window,1908,274,50.0,87.96
2021,0.584045584045584,0.28401084390018816,0.7044534412955465,5,45,window,1974,351,50.0,90.6
1977,0,0,0,5,50,window,4,0,50.0,nan
1969,0,0,0,5,50,window,0,1,nan,0.0
1971,0,0,0,5,50,window,0,1,nan,0.0
1970,0,0,0,5,50,window,0,1,nan,0.0
1972,0,0,0,5,50,window,0,0,nan,nan
1974,0,0,0,5,50,window,0,0,nan,nan
1975,0,0,0,5,50,window,0,1,nan,100.0
1978,0.6666666666666666,0.0,0.8,5,50,window,4,3,50.0,66.67
1976,0.16666666666666666,0.0,0.2857142857142857,5,50,window,2,6,50.0,16.67
1979,1.0,0.0,1.0,5,50,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,50,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,50,window,16,2,50.0,50.0
1985,0.75,0.0,0.8571428571428571,5,50,window,34,4,50.0,75.0
1982,0.8333333333333334,0.0,0.9090909090909091,5,50,window,18,6,50.0,83.33
1986,0.5714285714285714,0.0,0.7272727272727273,5,50,window,36,7,50.0,57.14
1983,0.7142857142857143,0.0,0.8333333333333333,5,50,window,26,7,50.0,71.43
1984,0.8,0.0,0.888888888888889,5,50,window,30,10,50.0,80.0
1987,0.6,0.0,0.7499999999999999,5,50,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,50,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,5,50,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,50,window,70,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,5,50,window,70,24,50.0,54.17
1992,0.7391304347826086,0.30496877279641665,0.8333333333333334,5,50,window,92,23,50.0,69.57
1993,0.5,-0.17370208344491278,0.6666666666666667,5,50,window,106,30,50.0,53.33
1994,0.6470588235294118,0.2988071523335984,0.7692307692307693,5,50,window,134,34,50.0,58.82
1995,0.42857142857142855,-0.2041241452319315,0.5384615384615384,5,50,window,162,21,50.0,66.67
1996,0.6,0.21004201260420147,0.5625000000000001,5,50,window,176,35,50.0,51.43
1998,0.7543859649122807,0.3372093023255814,0.8372093023255814,5,50,window,244,57,50.0,75.44
1997,0.6818181818181818,0.3448043438624031,0.7307692307692308,5,50,window,210,44,50.0,61.36
1999,0.68,-0.1846372364689991,0.8095238095238095,5,50,window,272,50,50.0,88.0
2000,0.575,0.24221667893268106,0.6433566433566433,5,50,window,284,120,50.0,75.0
2001,0.7633587786259542,0.504976143940895,0.8143712574850299,5,50,window,344,131,50.0,68.7
2002,0.7006369426751592,0.26268326365443134,0.794759825327511,5,50,window,426,157,50.0,78.34
2003,0.8325123152709359,0.41290020305573294,0.9011627906976744,5,50,window,494,203,50.0,90.64
2004,0.8086124401913876,0.4598064007033922,0.8816568047337279,5,50,window,532,209,50.0,88.52
2005,0.8338192419825073,0.2516632208943939,0.9054726368159204,5,50,window,580,343,50.0,92.13
2006,0.8608247422680413,0.3552066118415316,0.9217391304347826,5,50,window,634,582,50.0,93.81
1969,0,0,0,5,55,window,0,1,nan,0.0
2007,0.802065404475043,0.3467331305399945,0.8827726809378185,5,50,window,706,581,50.0,92.43
1970,0,0,0,5,55,window,0,1,nan,0.0
1971,0,0,0,5,55,window,0,1,nan,0.0
1972,0,0,0,5,55,window,0,0,nan,nan
1973,0,0,0,5,55,window,0,0,nan,nan
1974,0,0,0,5,55,window,0,0,nan,nan
1975,0,0,0,5,55,window,0,1,nan,100.0
1977,0,0,0,5,55,window,4,0,50.0,nan
1976,0.16666666666666666,0.0,0.2857142857142857,5,55,window,2,6,50.0,16.67
1978,0.6666666666666666,0.0,0.8,5,55,window,4,3,50.0,66.67
2008,0.7888307155322862,0.29327764575147464,0.8756423432682426,5,50,window,794,573,50.0,93.72
1979,1.0,0.0,1.0,5,55,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,5,55,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,5,55,window,16,2,50.0,50.0
2009,0.6864,0.22533506683666613,0.8012170385395538,5,50,window,866,625,50.0,92.48
1982,0.8333333333333334,0.0,0.9090909090909091,5,55,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,5,55,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,5,55,window,30,10,50.0,80.0
2010,0.6772486772486772,0.274733197502095,0.7869615832363213,5,50,window,960,567,50.0,89.42
1985,0.75,0.0,0.8571428571428571,5,55,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,5,55,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,5,55,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,5,55,window,54,7,50.0,28.57
1989,0.7333333333333333,-0.1336306209562122,0.8461538461538461,5,55,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,5,55,window,70,8,50.0,100.0
1991,0.4166666666666667,-0.3476767476825577,0.588235294117647,5,55,window,70,24,50.0,54.17
2011,0.599128540305011,0.24230393055933455,0.7133956386292835,5,50,window,1080,459,50.0,87.36
1992,0.6521739130434783,0.17857142857142858,0.75,5,55,window,92,23,50.0,69.57
2012,0.5753012048192772,0.3293500993534154,0.668235294117647,5,50,window,1196,332,50.0,84.34
1993,0.6,0.1913829539560278,0.6842105263157896,5,55,window,106,30,50.0,53.33
1994,0.5588235294117647,0.03984095364447979,0.6666666666666665,5,55,window,134,34,50.0,58.82
1995,0.47619047619047616,-0.06741998624632421,0.56,5,55,window,162,21,50.0,66.67
1996,0.5142857142857142,0.029411764705882353,0.5142857142857143,5,55,window,176,35,50.0,51.43
1997,0.7045454545454546,0.3840526207048608,0.7547169811320754,5,55,window,210,44,50.0,61.36
1998,0.6842105263157895,0.1877724366538909,0.7857142857142858,5,55,window,244,57,50.0,75.44
2013,0.6415094339622641,0.3634431947454556,0.7443946188340808,5,50,window,1300,318,50.0,87.42
1999,0.64,0.010555008273018727,0.7692307692307693,5,55,window,272,50,50.0,88.0
2000,0.6,0.19287918745261487,0.6883116883116883,5,55,window,284,120,50.0,75.0
2001,0.7557251908396947,0.4932059380760834,0.8072289156626506,5,55,window,344,131,50.0,68.7
2002,0.7261146496815286,0.2978602074298738,0.815450643776824,5,55,window,426,157,50.0,78.34
2015,0.5405405405405406,0.27382064521905625,0.6408450704225352,5,50,window,1452,222,50.0,85.59
2003,0.8522167487684729,0.3906107453539456,0.9147727272727273,5,55,window,494,203,50.0,90.64
2004,0.8277511961722488,0.4664031516020798,0.8953488372093024,5,55,window,532,209,50.0,88.52
2016,0.5918367346938775,0.34834390764504264,0.6791443850267379,5,50,window,1516,294,50.0,82.99
2017,0.7142857142857143,0.43691779074038456,0.8037974683544304,5,50,window,1616,434,50.0,86.41
2005,0.8279883381924198,0.222372252191721,0.9021558872305142,5,55,window,580,343,50.0,92.13
2006,0.8625429553264605,0.3439089515441969,0.9229287090558767,5,55,window,634,582,50.0,93.81
2014,0.5625,0.31709419828005625,0.6579804560260587,5,50,window,1380,240,50.0,85.0
2007,0.810671256454389,0.34583791393478625,0.8886639676113359,5,55,window,706,581,50.0,92.43
2008,0.8010471204188482,0.31952851228819973,0.8834355828220859,5,55,window,794,573,50.0,93.72
2018,0.6170212765957447,0.365170203099298,0.7187500000000001,5,50,window,1734,376,50.0,86.97
2009,0.7056,0.24016227574349447,0.8156312625250501,5,55,window,866,625,50.0,92.48
2019,0.5952380952380952,0.3014930280543385,0.7043478260869563,5,50,window,1830,336,50.0,87.5
2020,0.4781021897810219,0.2572342589776023,0.5806451612903225,5,50,window,1912,274,50.0,87.96
2021,0.5954415954415955,0.29144771613052617,0.714859437751004,5,50,window,1976,351,50.0,90.6
2010,0.6772486772486772,0.274733197502095,0.7869615832363213,5,55,window,960,567,50.0,89.42
2011,0.616557734204793,0.2561830808324492,0.7292307692307692,5,55,window,1080,459,50.0,87.36
2012,0.5753012048192772,0.3293500993534154,0.668235294117647,5,55,window,1196,332,50.0,84.34
2013,0.6320754716981132,0.35595701291343446,0.7358916478555305,5,55,window,1300,318,50.0,87.42
2014,0.5791666666666667,0.3298401524564521,0.67524115755627,5,55,window,1380,240,50.0,85.0
2015,0.5405405405405406,0.27382064521905625,0.6408450704225352,5,55,window,1452,222,50.0,85.59
2016,0.5952380952380952,0.35117248128047934,0.6826666666666666,5,55,window,1516,294,50.0,82.99
2017,0.716589861751152,0.4483491552602005,0.8050713153724247,5,55,window,1616,434,50.0,86.41
2019,0.5952380952380952,0.3150597094729538,0.7030567685589519,5,55,window,1832,336,50.0,87.5
2020,0.48175182481751827,0.2594957487446766,0.584795321637427,5,55,window,1916,274,50.0,87.96
2018,0.6143617021276596,0.3514026030771316,0.7173489278752437,5,55,window,1734,376,50.0,86.97
2021,0.5811965811965812,0.28217528615465226,0.7018255578093306,5,55,window,1982,351,50.0,90.6
2022,0.6377952755905512,0.31598404515903855,0.7578947368421053,5,5,window,432,127,50.0,92.91
2021,0.5584045584045584,0.26780402502850414,0.6804123711340206,5,5,window,466,351,50.0,90.6
2022,0.6377952755905512,0.31598404515903855,0.7578947368421053,5,10,window,852,127,50.0,92.91
2021,0.5698005698005698,0.2749223301643623,0.6912065439672803,5,10,window,902,351,50.0,90.6
2022,0.6220472440944882,0.3060496190376869,0.7446808510638298,5,15,window,1342,127,50.0,92.91
2021,0.5641025641025641,0.2713470121222851,0.6858316221765914,5,15,window,1348,351,50.0,90.6
2022,0.6377952755905512,0.31598404515903855,0.7578947368421053,5,20,window,1622,127,50.0,92.91
2021,0.5726495726495726,0.27672252515516793,0.6938775510204082,5,20,window,1638,351,50.0,90.6
2021,0.5726495726495726,0.27672252515516793,0.6938775510204082,5,25,window,1806,351,50.0,90.6
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,25,window,1838,127,50.0,92.91
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,30,window,1956,127,50.0,92.91
2021,0.5897435897435898,0.2719177145341507,0.710843373493976,5,30,window,1912,351,50.0,90.6
2021,0.584045584045584,0.28401084390018816,0.7044534412955465,5,35,window,1946,351,50.0,90.6
2022,0.6377952755905512,0.31598404515903855,0.7578947368421053,5,35,window,2006,127,50.0,92.91
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,40,window,2024,127,50.0,92.91
2021,0.5868945868945868,0.2858556828250581,0.7070707070707072,5,40,window,1960,351,50.0,90.6
2021,0.584045584045584,0.28401084390018816,0.7044534412955465,5,45,window,1974,351,50.0,90.6
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,45,window,2030,127,50.0,92.91
2021,0.5925925925925926,0.27379834880829135,0.7134268537074149,5,50,window,1976,351,50.0,90.6
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,50,window,2040,127,50.0,92.91
2021,0.5783475783475783,0.2803488307916507,0.6991869918699186,5,55,window,1982,351,50.0,90.6
2022,0.6299212598425197,0.3109677933854283,0.7513227513227513,5,55,window,2048,127,50.0,92.91
