model,random_state,accuracy_general,MCC_general,F1_general,accuracy_ensemble,MCC_ensemble,F1_ensemble,alpha,training_size,test_size,train_distribution,test_distribution
RF,9,0.7966682998530132,0.3524807368089505,0.8784060943451508,0.9137677609015189,0.24080936448622992,0.9542619542619543,5,12869,2041,79.94,91.67
NB,10,0.6398058252427185,0.2872721949293712,0.758148631029987,0.8635922330097088,0.2715424529938397,0.9239512855209743,5,12850,2060,79.94,91.6
SVM,10,0.7888349514563107,0.36982311346800995,0.8723965972425931,0.8980582524271845,0.3051000460619043,0.9446202531645569,5,12850,2060,79.94,91.6
RF,10,0.8203883495145631,0.35067465658252345,0.8947068867387592,0.9106796116504854,0.09752368111457956,0.9530372639101582,5,12850,2060,79.94,91.6
BERT,1,0.7410628019323672,0.2831296210516558,0.8393285371702637,0.9033816425120773,0.14635872951254328,0.9488229273285569,0,12840,2070,80.06,90.77
BERT,2,0.7538759689922481,0.28885627758026655,0.849436870183758,0.9118217054263565,0.21563233647328336,0.9532614278376991,0,12846,2064,79.93,91.62
BERT,3,0.7544968400583374,0.2805845221388873,0.8498364555456438,0.9017987360233349,0.12132001600330311,0.947938144329897,0,12853,2057,80.0,91.25
BERT,4,0.7357386640663092,0.27256161847328214,0.8362537764350455,0.9122379327157484,0.25166330253046365,0.9533678756476685,0,12859,2051,79.98,91.37
BERT,5,0.7731051344743276,0.26322218502181166,0.8636096413874191,0.9007334963325183,0.09856565367677803,0.9474501682630081,0,12865,2045,80.05,90.95
BERT,6,0.7349806201550387,0.2927006345464153,0.8351913226875565,0.9089147286821705,0.12178696353566297,0.9519672968829841,0,12846,2064,79.94,91.57
BERT,7,0.7513408093612872,0.2532458160524808,0.8488441019561352,0.9151633349585568,0.08286595132792599,0.9555669050051072,0,12859,2051,79.91,91.86
BERT,8,0.7536585365853659,0.30559391155993404,0.848666466886425,0.9073170731707317,0.14473736172673832,0.9509803921568628,0,12860,2050,79.96,91.51
BERT,9,0.7437530622243999,0.2727710910472744,0.8425173140620295,0.9054385105340519,0.07924611338214495,0.9501163091238045,0,12869,2041,79.94,91.67
BERT,10,0.7014563106796117,0.2536593045430199,0.8108274377114735,0.9135922330097087,0.0884580071950973,0.95470737913486,0,12850,2060,79.94,91.6
