year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
1984,0.5,0.3273268353539886,0.5454545454545454,30,16,20,window,12,10,50.0,80.0
1984,0.5,0.3273268353539886,0.5454545454545454,35,16,20,window,12,10,50.0,80.0
1984,0.5,0.3273268353539886,0.5454545454545454,40,16,20,window,12,10,50.0,80.0
1984,0.5,0.3273268353539886,0.5454545454545454,45,16,20,window,12,10,50.0,80.0
1984,0.5,0.3273268353539886,0.5454545454545454,50,16,20,window,12,10,50.0,80.0
1984,0.5,0.3273268353539886,0.5454545454545454,55,16,20,window,12,10,50.0,80.0
1985,0.0,-1.0,0.0,5,16,20,window,14,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,10,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,15,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,20,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,25,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,30,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,35,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,40,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,45,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,50,16,20,window,16,4,50.0,75.0
1985,0.25,-0.5773502691896258,0.4,55,16,20,window,16,4,50.0,75.0
1986,0.14285714285714285,-0.7302967433402214,0.0,5,16,20,window,14,7,50.0,57.14
1986,0.0,-1.0,0.0,10,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,15,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,20,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,25,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,30,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,35,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,40,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,45,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,50,16,20,window,18,7,50.0,57.14
1986,0.0,-1.0,0.0,55,16,20,window,18,7,50.0,57.14
1987,0.4,-0.12309149097933272,0.30769230769230765,5,16,20,window,18,15,50.0,60.0
1987,0.4,0.0,0.0,10,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,15,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,20,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,25,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,30,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,35,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,40,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,45,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,50,16,20,window,24,15,50.0,60.0
1987,0.4,0.0,0.0,55,16,20,window,24,15,50.0,60.0
1988,0.14285714285714285,-0.6454972243679028,0.25,5,16,20,window,28,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,10,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,15,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,20,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,25,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,30,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,35,16,20,window,36,7,50.0,28.57
