,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),67.56,64.04,65.67,61.0,62.88,52.18,56.6,81.25,80.66,63.54
SVM (SGD),60.75,59.65,65.95,60.27,61.16,53.97,53.68,81.56,78.58,64.24
Naive Bayes,68.84,64.91,67.78,67.33,62.55,45.85,52.36,78.12,79.72,67.71
Random Forest,69.55,63.86,65.88,60.2,60.46,52.01,51.7,80.94,75.85,69.86
