,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),66.6,66.67,77.46,71.0,74.02,60.26,59.91,65.62,81.6,71.53
SVM (SGD),52.16,69.12,76.13,70.2,73.73,62.62,57.08,49.38,78.4,71.53
Naive Bayes,68.49,73.68,73.59,68.67,75.55,59.83,58.02,78.12,81.6,66.32
Random Forest,71.07,72.46,73.94,64.93,69.45,57.9,58.77,75.31,77.83,70.21
