,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),65.66,69.3,77.46,70.67,76.42,67.03,59.43,68.75,79.25,75.0
SVM (SGD),51.74,70.88,76.65,69.4,75.52,68.08,55.47,58.44,80.66,71.53
Naive Bayes,67.18,76.32,74.47,65.67,74.78,67.25,58.96,79.69,82.08,70.49
Random Forest,70.49,69.12,73.77,63.8,73.23,62.58,58.4,75.62,78.02,71.88
