,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
Procedure,42.44,26.82,27.92,28.96,48.73,13.72,22.54,33.96,41.94,46.79
Facts,45.53,19.19,24.12,30.0,48.13,22.79,29.46,39.92,57.99,42.6
Procedure + Facts,43.92,34.87,24.16,28.14,44.26,25.5,23.09,32.55,45.09,48.68
