,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),38.75,31.64,25.3,24.52,43.77,19.82,22.25,30.98,51.53,38.1
SVM (SGD),29.58,36.33,28.19,18.76,44.51,26.45,23.32,39.62,50.39,41.75
Naive Bayes,42.91,34.25,22.34,31.35,41.75,27.92,32.11,50.6,51.15,39.61
Random Forest,45.27,20.09,27.31,22.71,41.02,21.87,31.34,52.43,47.15,36.83
