,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
Procedure,45.27,20.09,27.31,22.71,41.02,21.87,31.34,52.43,47.15,36.83
Facts,50.91,35.29,21.63,25.63,48.79,24.08,29.19,54.14,54.82,43.12
Procedure + Facts,50.65,32.48,28.3,32.74,49.21,26.92,32.18,46.83,54.77,48.81
