,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
Procedure,38.75,31.64,25.3,24.52,43.77,19.82,22.25,30.98,51.53,38.1
Facts,45.57,33.07,29.0,31.14,54.65,36.16,24.4,48.09,54.18,48.0
Procedure + Facts,43.77,36.8,28.37,35.35,53.81,35.66,23.16,55.78,61.0,53.15
