,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),43.77,36.8,28.37,35.35,53.81,35.66,23.16,55.78,61.0,53.15
SVM (SGD),14.8,37.26,26.74,30.57,51.53,33.43,23.88,13.24,52.8,54.36
Naive Bayes,49.72,41.15,25.4,34.97,56.08,37.82,34.31,67.2,54.68,47.41
Random Forest,50.65,32.48,28.3,32.74,49.21,26.92,32.18,46.83,54.77,48.81
