,0,1,2,3,4,5,6,7,8,9
Article,All,2,3,5,6,8,10,11,13,14
SVM (rep),45.57,33.07,29.0,31.14,54.65,36.16,24.4,48.09,54.18,48.0
SVM (SGD),23.01,38.51,31.26,29.61,53.45,37.75,18.92,13.73,53.11,53.91
Naive Bayes,48.2,30.48,29.88,32.25,50.96,33.55,33.95,56.28,54.09,48.05
Random Forest,50.91,35.29,21.63,25.63,48.79,24.08,29.19,54.14,54.82,43.12
