year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
2022,0.8818897637795275,0.3575178689992605,0.9344978165938864,15,window,1342,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,20,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,20,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,20,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,20,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,20,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,20,window,26,7,50.0,71.43
1984,0.8,0.0,0.888888888888889,20,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,20,window,34,4,50.0,75.0
1986,0.42857142857142855,-0.3535533905932738,0.6,20,window,36,7,50.0,57.14
1987,0.4666666666666667,-0.3202563076101743,0.6363636363636364,20,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,20,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,20,window,62,15,50.0,80.0
1990,1.0,0.0,1.0,20,window,66,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,20,window,64,24,50.0,54.17
1992,0.34782608695652173,-0.17857142857142858,0.34782608695652173,20,window,84,23,50.0,69.57
1993,0.6666666666666666,0.3674842076295835,0.75,20,window,98,30,50.0,53.33
1994,0.5294117647058824,0.049300664859163464,0.5789473684210527,20,window,126,34,50.0,58.82
1995,0.47619047619047616,0.0,0.5217391304347826,20,window,154,21,50.0,66.67
1996,0.42857142857142855,-0.1554941669103437,0.5,20,window,168,35,50.0,51.43
1997,0.6818181818181818,0.3448043438624031,0.7307692307692308,20,window,192,44,50.0,61.36
1998,0.7543859649122807,0.1126946786989845,0.8571428571428571,20,window,226,57,50.0,75.44
1999,0.8,-0.10889310129609417,0.888888888888889,20,window,252,50,50.0,88.0
2000,0.7166666666666667,0.19245008972987526,0.8172043010752689,20,window,264,120,50.0,75.0
2001,0.7404580152671756,0.32720353242724665,0.8333333333333331,20,window,322,131,50.0,68.7
2002,0.802547770700637,0.3264504984348798,0.8812260536398467,20,window,402,157,50.0,78.34
2003,0.8916256157635468,0.29714701890601963,0.9408602150537634,20,window,468,203,50.0,90.64
2004,0.8947368421052632,0.29757124721541367,0.9432989690721649,20,window,502,209,50.0,88.52
2005,0.9067055393586005,0.16876083774933534,0.9504643962848297,20,window,546,343,50.0,92.13
2006,0.9243986254295533,0.3135549127611993,0.9598540145985403,20,window,598,582,50.0,93.81
2007,0.9104991394148021,0.318971950574029,0.9518518518518518,20,window,664,581,50.0,92.43
2008,0.8848167539267016,0.28026211585707744,0.9370229007633588,20,window,740,573,50.0,93.72
2009,0.8768,0.2834988297072055,0.9320388349514563,20,window,802,625,50.0,92.48
2010,0.8253968253968254,0.32308108555427123,0.8978328173374613,20,window,890,567,50.0,89.42
2011,0.8104575163398693,0.31104284089679163,0.8871595330739299,20,window,1010,459,50.0,87.36
2012,0.7409638554216867,0.2028868112322404,0.8383458646616541,20,window,1104,332,50.0,84.34
2013,0.7830188679245284,0.4361331319813807,0.8622754491017963,20,window,1194,318,50.0,87.42
2014,0.7625,0.3519289213605691,0.8479999999999999,20,window,1246,240,50.0,85.0
2015,0.7612612612612613,0.3047083274776103,0.8498583569405099,20,window,1290,222,50.0,85.59
2016,0.7517006802721088,0.2974636975427843,0.8409586056644881,20,window,1340,294,50.0,82.99
2017,0.8778801843317973,0.5060116261446258,0.9286675639300136,20,window,1406,434,50.0,86.41
2018,0.8164893617021277,0.39930320901756383,0.888529886914378,20,window,1490,376,50.0,86.97
2019,0.7767857142857143,0.29191832547087637,0.8633879781420767,20,window,1560,336,50.0,87.5
2020,0.7262773722627737,0.2646827903195707,0.8259860788863109,20,window,1632,274,50.0,87.96
2021,0.8518518518518519,0.2746443167956473,0.9163987138263665,20,window,1638,351,50.0,90.6
2022,0.8818897637795275,0.3575178689992605,0.9344978165938864,20,window,1622,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,25,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,25,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,25,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,25,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,25,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,25,window,26,7,50.0,71.43
